date,selected,entering,exiting,n_trades,transaction_cost,gross_return,net_return,proba_selected,adj_proba_selected,weight_per_stock
2023-08-04,JNJ | META,JNJ,V,2,0.001000,-0.000399,-0.001399,"{'JNJ': np.float64(1.0), 'META': np.float64(0.8)}","{'JNJ': np.float64(1.0), 'META': np.float64(1.3)}",0.500000
2023-08-11,JNJ | META,—,—,0,0.000000,-0.034395,-0.034395,"{'JNJ': np.float64(0.55), 'META': np.float64(0.8)}","{'JNJ': np.float64(1.05), 'META': np.float64(1.3)}",0.500000
2023-08-18,JNJ | META,—,—,0,0.000000,-0.010617,-0.010617,"{'JNJ': np.float64(0.7), 'META': np.float64(0.55)}","{'JNJ': np.float64(1.2), 'META': np.float64(1.05)}",0.500000
2023-08-25,JNJ | META,—,—,0,0.000000,0.001701,0.001701,"{'JNJ': np.float64(1.0), 'META': np.float64(0.7)}","{'JNJ': np.float64(1.5), 'META': np.float64(1.2)}",0.500000
2023-09-01,AAPL | JNJ,AAPL,META,2,0.001000,-0.029519,-0.030519,"{'AAPL': np.float64(1.0), 'JNJ': np.float64(0.7)}","{'AAPL': np.float64(1.0), 'JNJ': np.float64(1.2)}",0.500000
2023-09-08,AAPL | GOOGL,GOOGL,JNJ,2,0.001000,-0.005156,-0.006156,"{'AAPL': np.float64(0.6), 'GOOGL': np.float64(1.0)}","{'AAPL': np.float64(1.1), 'GOOGL': np.float64(1.0)}",0.500000
2023-09-15,AAPL | GOOGL,—,—,0,0.000000,-0.026647,-0.026647,"{'AAPL': np.float64(0.6), 'GOOGL': np.float64(0.7)}","{'AAPL': np.float64(1.1), 'GOOGL': np.float64(1.2)}",0.500000
2023-09-22,GOOGL | META,META,AAPL,2,0.001000,0.004231,0.003231,"{'GOOGL': np.float64(0.6), 'META': np.float64(1.0)}","{'GOOGL': np.float64(1.1), 'META': np.float64(1.0)}",0.500000
2023-09-29,BRK-B | GOOGL,BRK-B,META,2,0.001000,0.020024,0.019024,"{'BRK-B': np.float64(1.0), 'GOOGL': np.float64(0.75)}","{'BRK-B': np.float64(1.0), 'GOOGL': np.float64(1.25)}",0.500000
2023-10-06,GOOGL | JNJ,JNJ,BRK-B,2,0.001000,-0.003305,-0.004305,"{'GOOGL': np.float64(0.6), 'JNJ': np.float64(1.0)}","{'GOOGL': np.float64(1.1), 'JNJ': np.float64(1.0)}",0.500000
2023-10-13,GOOGL | META,META,JNJ,2,0.001000,-0.016003,-0.017003,"{'GOOGL': np.float64(1.0), 'META': np.float64(0.9)}","{'GOOGL': np.float64(1.5), 'META': np.float64(0.9)}",0.500000
2023-10-20,AAPL | META,AAPL,GOOGL,2,0.001000,-0.032787,-0.033787,"{'AAPL': np.float64(1.0), 'META': np.float64(0.8)}","{'AAPL': np.float64(1.0), 'META': np.float64(1.3)}",0.500000
2023-10-27,AAPL | V,V,META,2,0.001000,0.056308,0.055308,"{'AAPL': np.float64(0.7), 'V': np.float64(1.0)}","{'AAPL': np.float64(1.2), 'V': np.float64(1.0)}",0.500000
2023-11-03,AAPL | V,—,—,0,0.000000,0.032750,0.032750,"{'AAPL': np.float64(1.0), 'V': np.float64(0.7)}","{'AAPL': np.float64(1.5), 'V': np.float64(1.2)}",0.500000
2023-11-10,AMZN | V,AMZN,AAPL,2,0.001000,0.014429,0.013429,"{'AMZN': np.float64(1.0), 'V': np.float64(0.7)}","{'AMZN': np.float64(1.0), 'V': np.float64(1.2)}",0.500000
2023-11-17,AMZN | V,—,—,0,0.000000,0.014869,0.014869,"{'AMZN': np.float64(0.5), 'V': np.float64(0.75)}","{'AMZN': np.float64(1.0), 'V': np.float64(1.25)}",0.500000
2023-11-24,AMZN | JPM,JPM,V,2,0.001000,0.011735,0.010735,"{'AMZN': np.float64(0.65), 'JPM': np.float64(1.0)}","{'AMZN': np.float64(1.15), 'JPM': np.float64(1.0)}",0.500000
2023-12-01,BRK-B | JPM,BRK-B,AMZN,2,0.001000,-0.000231,-0.001231,"{'BRK-B': np.float64(0.85), 'JPM': np.float64(1.0)}","{'BRK-B': np.float64(0.85), 'JPM': np.float64(1.5)}",0.500000
2023-12-08,JPM | V,V,BRK-B,2,0.001000,0.025642,0.024642,"{'JPM': np.float64(0.7), 'V': np.float64(1.0)}","{'JPM': np.float64(1.2), 'V': np.float64(1.0)}",0.500000
2023-12-15,JPM | V,—,—,0,0.000000,0.007342,0.007342,"{'JPM': np.float64(0.9), 'V': np.float64(0.7)}","{'JPM': np.float64(1.4), 'V': np.float64(1.2)}",0.500000
2023-12-22,JPM | TSLA,TSLA,V,2,0.001000,0.000026,-0.000974,"{'JPM': np.float64(0.45), 'TSLA': np.float64(1.0)}","{'JPM': np.float64(0.95), 'TSLA': np.float64(1.0)}",0.500000
2023-12-29,JPM | TSLA,—,—,0,0.000000,-0.012613,-0.012613,"{'JPM': np.float64(0.8), 'TSLA': np.float64(1.0)}","{'JPM': np.float64(1.3), 'TSLA': np.float64(1.5)}",0.500000
2024-01-05,JPM | META,META,TSLA,2,0.001000,0.022676,0.021676,"{'JPM': np.float64(0.6), 'META': np.float64(1.0)}","{'JPM': np.float64(1.1), 'META': np.float64(1.0)}",0.500000
2024-01-12,JPM | META,—,—,0,0.000000,0.015690,0.015690,"{'JPM': np.float64(1.0), 'META': np.float64(0.8)}","{'JPM': np.float64(1.5), 'META': np.float64(1.3)}",0.500000
2024-01-19,JNJ | JPM,JNJ,META,2,0.001000,-0.000958,-0.001958,"{'JNJ': np.float64(1.0), 'JPM': np.float64(0.8)}","{'JNJ': np.float64(1.0), 'JPM': np.float64(1.3)}",0.500000
2024-01-26,JNJ | MSFT,MSFT,JPM,2,0.001000,-0.000036,-0.001036,"{'JNJ': np.float64(0.4), 'MSFT': np.float64(1.0)}","{'JNJ': np.float64(0.9), 'MSFT': np.float64(1.0)}",0.500000
2024-02-02,JNJ | MSFT,—,—,0,0.000000,0.011823,0.011823,"{'JNJ': np.float64(0.7), 'MSFT': np.float64(0.9)}","{'JNJ': np.float64(1.2), 'MSFT': np.float64(1.4)}",0.500000
2024-02-09,META | MSFT,META,JNJ,2,0.001000,-0.013152,-0.014152,"{'META': np.float64(1.0), 'MSFT': np.float64(0.6)}","{'META': np.float64(1.0), 'MSFT': np.float64(1.1)}",0.500000
2024-02-16,META | MSFT,—,—,0,0.000000,0.019627,0.019627,"{'META': np.float64(1.0), 'MSFT': np.float64(0.9)}","{'META': np.float64(1.5), 'MSFT': np.float64(1.4)}",0.500000
2024-02-23,BRK-B | MSFT,BRK-B,META,2,0.001000,-0.005828,-0.006828,"{'BRK-B': np.float64(0.9), 'MSFT': np.float64(1.0)}","{'BRK-B': np.float64(0.9), 'MSFT': np.float64(1.5)}",0.500000
2024-03-01,BRK-B | TSLA,TSLA,MSFT,2,0.001000,-0.072224,-0.073224,"{'BRK-B': np.float64(0.6), 'TSLA': np.float64(1.0)}","{'BRK-B': np.float64(1.1), 'TSLA': np.float64(1.0)}",0.500000
2024-03-08,BRK-B | GOOGL,GOOGL,TSLA,2,0.001000,0.027482,0.026482,"{'BRK-B': np.float64(0.4), 'GOOGL': np.float64(1.0)}","{'BRK-B': np.float64(0.9), 'GOOGL': np.float64(1.0)}",0.500000
2024-03-15,META | TSLA,META | TSLA,BRK-B | GOOGL,4,0.002000,0.048509,0.046509,"{'META': np.float64(1.0), 'TSLA': np.float64(0.9)}","{'META': np.float64(1.0), 'TSLA': np.float64(0.9)}",0.500000
2024-03-22,JNJ | META,JNJ,TSLA,2,0.001000,-0.014015,-0.015015,"{'JNJ': np.float64(1.0), 'META': np.float64(0.8)}","{'JNJ': np.float64(1.0), 'META': np.float64(1.3)}",0.500000
2024-03-29,JNJ | MSFT,MSFT,META,2,0.001000,-0.012628,-0.013628,"{'JNJ': np.float64(0.8), 'MSFT': np.float64(1.0)}","{'JNJ': np.float64(1.3), 'MSFT': np.float64(1.0)}",0.500000
2024-04-05,JNJ | TSLA,TSLA,MSFT,2,0.001000,0.002669,0.001669,"{'JNJ': np.float64(0.4), 'TSLA': np.float64(1.0)}","{'JNJ': np.float64(0.9), 'TSLA': np.float64(1.0)}",0.500000
2024-04-12,JNJ | TSLA,—,—,0,0.000000,-0.068833,-0.068833,"{'JNJ': np.float64(0.7), 'TSLA': np.float64(1.0)}","{'JNJ': np.float64(1.2), 'TSLA': np.float64(1.5)}",0.500000
2024-04-19,META | TSLA,META,JNJ,2,0.001000,0.032954,0.031954,"{'META': np.float64(1.0), 'TSLA': np.float64(0.7)}","{'META': np.float64(1.0), 'TSLA': np.float64(1.2)}",0.500000
