date,selected,entering,exiting,n_trades,transaction_cost,gross_return,net_return,proba_selected,adj_proba_selected,weight_per_stock
2025-03-07,AMZN | MSFT,AMZN,BRK-B,2,0.001000,-0.009301,-0.010301,"{'AMZN': np.float32(0.9), 'MSFT': np.float32(1.0)}","{'AMZN': np.float32(0.9), 'MSFT': np.float32(1.04)}",0.500000
2025-03-14,BRK-B | MSFT,BRK-B,AMZN,2,0.001000,0.010577,0.009577,"{'BRK-B': np.float32(1.0), 'MSFT': np.float32(0.9)}","{'BRK-B': np.float32(1.0), 'MSFT': np.float32(0.94)}",0.500000
2025-03-21,AMZN | MSFT,AMZN,BRK-B,2,0.001000,-0.024816,-0.025816,"{'AMZN': np.float32(0.9), 'MSFT': np.float32(1.0)}","{'AMZN': np.float32(0.9), 'MSFT': np.float32(1.04)}",0.500000
2025-03-28,AMZN | GOOGL,GOOGL,MSFT,2,0.001000,-0.084635,-0.085635,"{'AMZN': np.float32(1.0), 'GOOGL': np.float32(0.9)}","{'AMZN': np.float32(1.04), 'GOOGL': np.float32(0.9)}",0.500000
2025-04-04,AAPL | GOOGL,AAPL,AMZN,2,0.001000,0.065561,0.064561,"{'AAPL': np.float32(0.9), 'GOOGL': np.float32(0.9)}","{'AAPL': np.float32(0.9), 'GOOGL': np.float32(0.94)}",0.500000
2025-04-11,GOOGL | MSFT,MSFT,AAPL,2,0.001000,-0.045633,-0.046633,"{'GOOGL': np.float32(0.95), 'MSFT': np.float32(0.95)}","{'GOOGL': np.float32(0.99), 'MSFT': np.float32(0.95)}",0.500000
2025-04-18,JNJ | JPM,JNJ | JPM,GOOGL | MSFT,4,0.002000,0.015806,0.013806,"{'JNJ': np.float32(1.0), 'JPM': np.float32(0.9)}","{'JNJ': np.float32(1.0), 'JPM': np.float32(0.9)}",0.500000
2025-04-25,GOOGL | JPM,GOOGL,JNJ,2,0.001000,0.024785,0.023785,"{'GOOGL': np.float32(0.85), 'JPM': np.float32(1.0)}","{'GOOGL': np.float32(0.85), 'JPM': np.float32(1.04)}",0.500000
2025-05-02,JPM | MSFT,MSFT,GOOGL,2,0.001000,0.005092,0.004092,"{'JPM': np.float32(0.9), 'MSFT': np.float32(0.9)}","{'JPM': np.float32(0.94), 'MSFT': np.float32(0.9)}",0.500000
2025-05-09,JNJ | V,JNJ | V,JPM | MSFT,4,0.002000,0.009332,0.007332,"{'JNJ': np.float32(1.0), 'V': np.float32(0.9)}","{'JNJ': np.float32(1.0), 'V': np.float32(0.9)}",0.500000
2025-05-16,JNJ | TSLA,TSLA,V,2,0.001000,-0.009881,-0.010881,"{'JNJ': np.float32(0.9), 'TSLA': np.float32(1.0)}","{'JNJ': np.float32(0.94), 'TSLA': np.float32(1.0)}",0.500000
2025-05-23,AAPL | JNJ,AAPL,TSLA,2,0.001000,0.026059,0.025059,"{'AAPL': np.float32(1.0), 'JNJ': np.float32(0.9)}","{'AAPL': np.float32(1.0), 'JNJ': np.float32(0.94)}",0.500000
2025-05-30,AAPL | JPM,JPM,JNJ,2,0.001000,0.010919,0.009919,"{'AAPL': np.float32(1.0), 'JPM': np.float32(0.85)}","{'AAPL': np.float32(1.04), 'JPM': np.float32(0.85)}",0.500000
2025-06-06,AAPL | BRK-B,BRK-B,JPM,2,0.001000,-0.024385,-0.025385,"{'AAPL': np.float32(1.0), 'BRK-B': np.float32(0.9)}","{'AAPL': np.float32(1.04), 'BRK-B': np.float32(0.9)}",0.500000
2025-06-13,BRK-B | JNJ,JNJ,AAPL,2,0.001000,-0.026024,-0.027024,"{'BRK-B': np.float32(0.95), 'JNJ': np.float32(0.95)}","{'BRK-B': np.float32(0.99), 'JNJ': np.float32(0.95)}",0.500000
